model,fpr,tpr
GRU 混合,0.26133108677337824,0.9382716049382716
GRU 混合,0.26133108677337824,0.9506172839506173
GRU 混合,0.2652064026958719,0.9506172839506173
GRU 混合,0.2652064026958719,0.9629629629629629
GRU 混合,0.3058129738837405,0.9629629629629629
GRU 混合,0.3058129738837405,0.9753086419753086
GRU 混合,0.3385004212299916,0.9753086419753086
GRU 混合,0.3385004212299916,0.9876543209876543
GRU 混合,0.4035383319292334,0.9876543209876543
GRU 混合,0.4035383319292334,1.0
GRU 混合,1.0,1.0
岭回归,0.0,0.0
岭回归,0.0,0.012345679012345678
岭回归,0.0,0.024691358024691357
岭回归,0.0005054759898904802,0.024691358024691357
岭回归,0.0005054759898904802,0.06172839506172839
岭回归,0.0008424599831508003,0.06172839506172839
岭回归,0.0008424599831508003,0.08641975308641975
岭回归,0.0016849199663016006,0.08641975308641975
岭回归,0.0016849199663016006,0.1111111111111111
岭回归,0.002358887952822241,0.1111111111111111
岭回归,0.002358887952822241,0.2839506172839506
岭回归,0.002527379949452401,0.2839506172839506
岭回归,0.002527379949452401,0.30864197530864196
岭回归,0.0030328559393428814,0.30864197530864196
岭回归,0.0030328559393428814,0.32098765432098764
岭回归,0.0032013479359730415,0.32098765432098764
岭回归,0.0032013479359730415,0.3333333333333333
岭回归,0.0035383319292333613,0.3333333333333333
岭回归,0.0035383319292333613,0.38271604938271603
岭回归,0.004212299915754001,0.38271604938271603
岭回归,0.004212299915754001,0.5679012345679012
岭回归,0.005054759898904802,0.5679012345679012
岭回归,0.005054759898904802,0.5802469135802469
岭回归,0.005391743892165122,0.5802469135802469
岭回归,0.005391743892165122,0.6172839506172839
岭回归,0.006065711878685763,0.6172839506172839
岭回归,0.006065711878685763,0.6296296296296297
岭回归,0.006234203875315923,0.6296296296296297
岭回归,0.006234203875315923,0.6419753086419753
岭回归,0.006402695871946083,0.6419753086419753
岭回归,0.006402695871946083,0.6666666666666666
岭回归,0.006739679865206402,0.6666666666666666
岭回归,0.006739679865206402,0.6790123456790124
岭回归,0.0069081718618365625,0.6790123456790124
岭回归,0.0069081718618365625,0.7037037037037037
