station,date,idx30_obs,pred_stack,pred_meta,pred_gru,pred_ridge
金江街,2023-01-26,-0.3249358453339968,-0.35384416813045066,-0.31275248230411656,-0.353762608152458,-0.3157643545773025
金江街,2023-01-27,-0.34420839690223576,-0.3709156687642159,-0.3421163894026764,-0.36941321999931653,-0.3381685659264344
金江街,2023-01-28,-0.3460329007330733,-0.36855016228459747,-0.350345785246182,-0.3676909035790425,-0.3510249471735493
金江街,2023-01-29,-0.3661393051330821,-0.38016913501553007,-0.35677180924732554,-0.3791906823974502,-0.3508284968481006
金江街,2023-01-30,-0.4029065906997788,-0.42072611030201146,-0.3907908975206349,-0.4214110894621614,-0.3970258135529667
金江街,2023-01-31,-0.4334488732736814,-0.45834481911786207,-0.43351238795814434,-0.4595852549694721,-0.43836485049159735
金江街,2023-02-01,-0.46254560318086946,-0.4870728076980557,-0.4625525482444976,-0.48587481390195125,-0.4630416409946216
金江街,2023-02-02,-0.4816496033972088,-0.49808459191742593,-0.4770438687011114,-0.4950487977584095,-0.472369662800782
金江街,2023-02-03,-0.49918517674418106,-0.5215475099532301,-0.5021628876146489,-0.515968724355208,-0.5114921856504504
金江街,2023-02-04,-0.5171676679036035,-0.5359214766423828,-0.5163347351443657,-0.5324066214918164,-0.5291457063600655
金江街,2023-02-05,-0.5519173234470325,-0.5543154479818961,-0.534935218247661,-0.5499543635400175,-0.5385772808457079
金江街,2023-02-06,-0.5680770618814039,-0.5744862871388998,-0.5654588322530929,-0.5687887825044984,-0.580861202594882
金江街,2023-02-07,-0.5803379484420399,-0.5894181145799993,-0.5816592913169425,-0.5839083047421136,-0.598936472681235
金江街,2023-02-08,-0.5852133831090323,-0.5973489023672516,-0.5895320848549235,-0.5918637860889329,-0.5993630301789461
金江街,2023-02-09,-0.5961438447884826,-0.615933773917263,-0.5990760269084989,-0.6096938420056441,-0.6104519817719629
金江街,2023-02-10,-0.6065404269613348,-0.626400993916761,-0.6078414688810165,-0.6209780270539869,-0.6195517365509249
金江街,2023-02-11,-0.6174371130749352,-0.6443619375710805,-0.6212440170549949,-0.6399867849233909,-0.6299794231113085
金江街,2023-02-12,-0.6299084291275536,-0.6546048379513396,-0.6316481378866572,-0.6514465554265387,-0.6414387187383108
金江街,2023-02-13,-0.6471193652695464,-0.6625036309582877,-0.6406639583068989,-0.6607144163610139,-0.6491461960181335
金江街,2023-02-14,-0.6770973465837786,-0.680161603631767,-0.6575113173999798,-0.6775281779667994,-0.6666899609786159
金江街,2023-02-15,-0.6932103690773348,-0.7006053778534069,-0.6807939605790418,-0.6990585281689017,-0.6935921694983309
金江街,2023-02-16,-0.708428428115145,-0.7209338758907224,-0.7021969846146272,-0.7196786595190832,-0.7073339573187634
金江街,2023-02-17,-0.7218166112857214,-0.7303187344355495,-0.7136926082667616,-0.7285538572407335,-0.7178094282912897
金江街,2023-02-18,-0.7360885983226242,-0.7471574863984929,-0.7295920552138713,-0.7451446051366803,-0.7345891175336343
金江街,2023-02-19,-0.7370372821423319,-0.7449434357295355,-0.7311933969360747,-0.7431193770950844,-0.7311112433629001
金江街,2023-02-20,-0.7338377447523892,-0.7479153887267389,-0.7337649699830886,-0.7433726047996816,-0.727079841685047
金江街,2023-02-21,-0.7303402225811342,-0.7456675624919316,-0.7280499542908212,-0.738744936761613,-0.7226071613489717
金江街,2023-02-22,-0.730489749207454,-0.7527420892292975,-0.7300847392148457,-0.7446911577772293,-0.7262232244780515
金江街,2023-02-23,-0.746748855475275,-0.7595930680211611,-0.7338870725120048,-0.752027222551739,-0.7299076697720859
金江街,2023-02-24,-0.7361463551338228,-0.7504704004681779,-0.7342147370524119,-0.7453567560546903,-0.7324127601587274
金江街,2023-02-25,-0.6989911551157564,-0.7037965455512849,-0.6946859279804942,-0.6997668652994593,-0.6963468666589601
金江街,2023-02-26,-0.685916865077367,-0.6854621118085158,-0.664596232053029,-0.6812607044705674,-0.6738085324784786
金江街,2023-02-27,-0.7016811504015588,-0.7020179563077671,-0.6738919326015351,-0.6967331190438204,-0.6842613281150565
金江街,2023-02-28,-0.7290514680817177,-0.7315384538153114,-0.6993210753178547,-0.7247064700692685,-0.7144362049511239
金江街,2023-03-01,-0.7424660068783704,-0.7525437097195076,-0.7267497434043941,-0.7468185435496297,-0.7466608253097997
金江街,2023-03-02,-0.7498427329228401,-0.7609443280932313,-0.7354077446489884,-0.7569746009547773,-0.7613495161643942
金江街,2023-03-03,-0.7542586062000078,-0.7627329490953232,-0.7382884620667343,-0.7586746575557302,-0.7637714438660519
金江街,2023-03-04,-0.7787327136281734,-0.7690680343146001,-0.7490230966956768,-0.7646079975558993,-0.7855563870416697
金江街,2023-03-05,-0.7809191621211726,-0.7753701156417636,-0.7639886997026262,-0.7713364583022193,-0.8005695370226891
金江街,2023-03-06,-0.7826375014537279,-0.7776244714235718,-0.7651766617401565,-0.7715851746834341,-0.8004360374662804
金江街,2023-03-07,-0.7999413946012057,-0.7922101735141072,-0.7747302200356787,-0.7858851794129225,-0.8090753998221631
金江街,2023-03-08,-0.8160053861327372,-0.807645607107528,-0.7940862310864925,-0.8029893871412102,-0.8241109877010582
金江街,2023-03-09,-0.8331829028659892,-0.8228865195598412,-0.8131352940687473,-0.8176736853914586,-0.8444739142589237
金江街,2023-03-10,-0.8657637990528395,-0.8485374294361174,-0.8386007054506808,-0.841766289196219,-0.8625273400425828
金江街,2023-03-11,-0.8894844561166233,-0.8709479032144183,-0.8631414142582552,-0.8641738543581285,-0.8818264253154526
金江街,2023-03-12,-0.9009445234173621,-0.878791195071859,-0.8766375130329005,-0.8694504406490469,-0.8931310300380526
金江街,2023-03-13,-0.8634842154758007,-0.8347720165274455,-0.8467811000119208,-0.8250175856223694,-0.8513983801343061
金江街,2023-03-14,-0.8697481286327682,-0.8685194459657597,-0.8599753556365715,-0.8572226173400426,-0.8874990583117326
金江街,2023-03-15,-0.8769710541656084,-0.8700357848579154,-0.8633470949887825,-0.861105501503385,-0.8827865061626528
金江街,2023-03-16,-0.8850432956847067,-0.8821266657584561,-0.8739209840424673,-0.8730992108726492,-0.8931588696520836
金江街,2023-03-17,-0.8975727840651512,-0.8962215239930809,-0.8845917478298377,-0.8874495524735624,-0.9064798578480693
金江街,2023-03-18,-0.8999268044779999,-0.9003009475211494,-0.8881701176648671,-0.8914981684116905,-0.9108283580720917
金江街,2023-03-19,-0.9041542112849151,-0.9068682471755843,-0.8875572899990767,-0.8973974360484187,-0.9136672270295139
金江街,2023-03-20,-0.8900822064647935,-0.8976941149203308,-0.8765544097074349,-0.8881987289526345,-0.8963287866424496
金江街,2023-03-21,-0.896520399167166,-0.9002403414530777,-0.8727889386710717,-0.8896258504889512,-0.8995220912829823
金江街,2023-03-22,-0.9073693602281419,-0.9101048249048777,-0.8829547310372023,-0.8998708878118652,-0.9109653004805554
金江街,2023-03-23,-0.9214434426314003,-0.922186564439617,-0.8999541692158852,-0.9131822004063858,-0.9267603340351693
金江街,2023-03-24,-0.9398218617771479,-0.9474083049993818,-0.9240068834244222,-0.9384088084466422,-0.9494965728492952
金江街,2023-03-25,-0.9558560548305483,-0.9636034217065943,-0.9428430238149305,-0.9543169218834076,-0.9705945483209037
金江街,2023-03-26,-0.9767104188395062,-0.9725772749474759,-0.9516870577895314,-0.9618159878948662,-0.9681937526077214
金江街,2023-03-27,-1.0200472597223291,-0.9982116235181773,-0.9750336311696837,-0.9843681528430858,-0.984900489002211
金江街,2023-03-28,-1.0628197103062045,-1.0424865822264702,-1.017645217459265,-1.028853481683843,-1.0347516808492438
金江街,2023-03-29,-1.0919975253152396,-1.082358370594488,-1.061692116898673,-1.0685869623744788,-1.0911394241202896
金江街,2023-03-30,-1.1042438687939191,-1.1008266600507746,-1.0837588990666556,-1.0881187369586522,-1.1087188641512038
金江街,2023-03-31,-1.105842539337804,-1.1058301925580203,-1.0894902979859433,-1.0939307461036416,-1.112062467091793
金江街,2023-04-01,-1.1150700951594283,-1.1186073288483522,-1.0975862239527994,-1.1058849220337916,-1.1261170202135669
金江街,2023-04-02,-1.1127586355211214,-1.1097377109214117,-1.0929291135937087,-1.0976464145042437,-1.1154719590975726
金江街,2023-04-03,-1.1148191231165223,-1.1221542974982592,-1.1036043293449431,-1.1087773926361388,-1.1336889203538443
金江街,2023-04-04,-1.1263839006073477,-1.1268877441977418,-1.102848207802243,-1.1132231831104742,-1.132333267677428
金江街,2023-04-05,-1.135720321785332,-1.1357396729882618,-1.1122043363402663,-1.1236016012707604,-1.144471576833002
金江街,2023-04-06,-1.12701797898065,-1.132184275286772,-1.1121886654274642,-1.1209105968731488,-1.1430941985729286
金江街,2023-04-07,-1.1458696122054057,-1.156478582734341,-1.1283913207934868,-1.1440107095337775,-1.1712164826295146
金江街,2023-04-08,-1.1671891767584166,-1.1750350804346579,-1.1474378906759777,-1.1625781293854414,-1.1850416705730036
金江街,2023-04-09,-1.182874810721007,-1.197183778737742,-1.174103610875225,-1.1845879264159616,-1.2071418127902087
金江街,2023-04-10,-1.198770933535098,-1.2071652004403755,-1.1832113791891423,-1.1942321860552776,-1.21342003159106
金江街,2023-04-11,-1.2293738518568313,-1.228367708023516,-1.2051250138001957,-1.2130880931653432,-1.2363119110618792
金江街,2023-04-12,-1.3061158551960868,-1.2685611062610855,-1.2436767652027112,-1.2511337453157731,-1.2731826009092624
金江街,2023-04-13,-1.3375784180602432,-1.3321460723935952,-1.3172227333635969,-1.313744028159608,-1.350083331600157
金江街,2023-04-14,-1.3617315685735571,-1.353748188253189,-1.3389873755839938,-1.3344231035113518,-1.3673370065952464
金江街,2023-04-15,-1.3693907272055734,-1.366371820829482,-1.3550026923106098,-1.3457566163193102,-1.380176351660641
金江街,2023-04-16,-1.385847441309448,-1.3936866967196517,-1.3778255960212926,-1.3708560762716042,-1.4037876684919193
金江街,2023-04-17,-1.4161159281057003,-1.4152537904635134,-1.396925826908227,-1.391245358455546,-1.4170834882521925
金江街,2023-04-18,-1.4474189325849631,-1.4454060513231506,-1.4249308165568702,-1.419835751672576,-1.441478944318757
金江街,2023-04-19,-1.490663053900374,-1.475507381716181,-1.4568532969679604,-1.450778443876427,-1.4726133677663604
金江街,2023-04-20,-1.5288066492558168,-1.5165721776807752,-1.5017833473189948,-1.4902319850792802,-1.522537927977876
金江街,2023-04-21,-1.5543181829833836,-1.5401035966005703,-1.5286178859879735,-1.512973803688116,-1.5458233610542929
金江街,2023-04-22,-1.5661539960342632,-1.5536385165001116,-1.544204983150369,-1.5261754792525404,-1.5605637540492305
金江街,2023-04-23,-1.5822701052227652,-1.5805610259750476,-1.567279215061067,-1.5520423390559908,-1.5938955481411805
金江街,2023-04-24,-1.6017183016053276,-1.6012782101374692,-1.585789531056232,-1.5726546943092894,-1.6075304294693533
金江街,2023-04-25,-1.621829899963178,-1.6081703250754384,-1.5957266705582962,-1.580133756163118,-1.613063092721742
金江街,2023-04-26,-1.651230194446388,-1.635443293145766,-1.6202860776141004,-1.6075927569634523,-1.6477569503180727
