obs,pred
-1.7077690670507446,-1.7091913211065697
-1.7488058453227533,-1.7432893278593122
-1.6952921712034164,-1.6800779705342888
-1.688182800428873,-1.713446211370407
-1.7255156634848812,-1.741935337249405
-1.7595750865508004,-1.759811812309341
-1.752226853075062,-1.765844638861996
-1.7525270935180652,-1.7793908370699933
-1.771269149072243,-1.805452752250215
-1.8035038605490112,-1.820998653906987
-1.8257781635925847,-1.8328017005038255
-1.8540324632176246,-1.8520156642276115
-1.8937420813819479,-1.8781631758330626
-1.906660730763644,-1.8946267756410473
-2.004146867486579,-1.9329528421554052
-2.1251500581259073,-2.054417731127213
-2.0284049656280523,-1.9599383914386592
-1.9978944107166228,-1.9865435649293526
-1.9557657734670324,-1.9501438334992864
-1.9383534898393402,-1.9641286985467057
-1.9392742746854985,-1.939001695777972
-1.964616396348152,-1.9680720700590835
-1.983798424651152,-1.9859918775672976
-2.030947927387299,-2.008314380539641
-2.0761005759315445,-2.0155367718368176
-2.056727053822865,-2.0485366275030508
-2.0570974572163694,-2.0380409149348218
-2.0522033836606646,-2.066559364415806
-1.9869691726747727,-1.9938209231403727
-1.8953621213523815,-1.9034620837664744
-1.7831455640335643,-1.8160073494604887
-1.6863542898305577,-1.732112642898411
-1.6854680522239855,-1.6461592295264789
-1.5309951159724342,-1.5333532321920382
-1.480203313200168,-1.5404127409713022
-1.4476742972322152,-1.4924173651009518
-1.3950713168409445,-1.4027337996059792
-1.3611156542128209,-1.387243458458233
-1.3427054183653235,-1.396847591063253
-1.3356054263946542,-1.3900905783886837
-1.287982709579499,-1.3188195044028999
-1.2740374966902304,-1.3359795100782856
-1.2969832746035659,-1.3404526059309883
-1.3279611076421853,-1.310467145317464
-1.3356232342501109,-1.3300586355769364
-1.3308274600565293,-1.3573646075393777
-1.5219806608211108,-1.3683052790559567
-1.6146107140799837,-1.5595514368260235
-1.6593690967044135,-1.6004851669744549
-1.692024192289001,-1.7169710982795474
-1.692440302511511,-1.70712489755935
-1.658503397491135,-1.7098813161460067
-1.618486059584516,-1.6642827589011202
-1.5610647483827516,-1.6153009465574935
-1.4976247381936612,-1.5181194428819076
-1.4673757213193748,-1.4796834425398624
-1.3491084108734095,-1.358473087182052
-1.2064562103551177,-1.2470185873577544
-1.1941227271037358,-1.1848042325002446
-1.220304667229737,-1.1585621018227992
-1.1461154793297477,-1.0606485765688982
-0.9851344842229148,-0.9253581434964924
-0.9070064361339301,-0.8693681089973178
-0.7526349452989651,-0.5962727736619906
-0.6547302646132744,-0.6666582036363844
-0.641961972891153,-0.6688274378691086
-0.6929640270768476,-0.6617768923770913
-0.37465092580582054,-0.34439733824863356
-0.23302987431788152,-0.2763415319251125
0.005542682653746096,-0.04645770726989054
0.24929629140922827,0.2535257461195212
0.36241906081248815,0.3262594979930175
0.5122360738953124,0.4578834420256414
0.534015912152366,0.4746089360278789
0.542333071043515,0.48857887215647344
0.5636020019275099,0.48485625869224314
0.5983800313206336,0.49944724377989735
0.6420319525260074,0.5455107047712457
0.6613269419921222,0.6079560275140314
0.7359187061444741,0.6369206824932474
0.7442040483338734,0.6547297845000377
0.7389846252589718,0.6601126243285156
0.9784808705919408,0.9207164020155215
1.0417712947951931,0.9744561765396431
0.9847585551571283,0.9454338834682651
0.9370704241529278,0.9043273577623834
0.8163594604216475,0.8705342214950631
0.7938932480557666,0.8341146046264034
0.7810199493459675,0.7270810829978378
0.7456368683839363,0.6976955096751387
0.6181671111925409,0.6968994391766967
0.41919774587033104,0.5481425277292222
0.4860546680049749,0.5294328231124579
0.25812720693030905,0.46472296443049443
0.1376897273392081,0.1299485041732946
0.1060919138128564,0.011778185325066332
0.0853696173119307,-0.011246844964992161
-0.24571705125839682,0.013428648903556635
-0.2442847654439977,-0.20509317779491565
-0.3487693448418592,-0.26089312827696726
-0.5540217964454117,-0.4069634576109353
-0.6417900083669574,-0.6483547555621103
-0.7594436601138776,-0.7434344574176353
-0.7326934713202464,-0.8113016785518676
-0.677712667349333,-0.7487166235032634
-0.45336823583187447,-0.5175066701119848
-0.12029798734190074,-0.1791090829430406
-0.09039060675461541,-0.1683449021139191
-0.08444812538864506,-0.11347073751743353
-0.03562711426982452,-0.04752917254300375
0.15521339910278326,0.08459280155720143
0.38861533626213224,0.3093498707653557
0.2048940362141775,0.35913558906382526
0.2675506788417185,0.2731738356795874
0.44635638750862555,0.37256268239857504
0.5441343356229813,0.4712020855206587
0.6004844449594946,0.5484457955076534
0.541094534696487,0.5735026946854054
0.5332978400608253,0.4895289212450995
0.5579388664541403,0.4989757511269166
0.6199969277002564,0.5841899010593143
0.7129434859101165,0.6672326204568149
0.6641097755643732,0.7999933289425305
0.6053443274327213,0.5944196236265353
0.6176530577650181,0.5375860903738852
0.6371730198050718,0.5521355831583248
0.6904465253138132,0.6131023196625234
0.7597797484687765,0.7267986504102912
0.9401922005740422,1.0411426774975643
1.0620641771215948,1.1089080970581013
1.1858272291996348,1.1913394727777662
1.246740660856499,1.2012717447993386
1.3018573981240669,1.235081145574643
1.4002640822550878,1.3717629657534152
1.483847744941851,1.4619963191058607
1.321083946065709,1.4419596324599657
1.1858012297306677,1.4176630693507055
1.2787407835173814,1.199606829033154
1.3663936598950845,1.2930009580101645
1.3587261909305217,1.3525937591063444
1.2527600721580432,1.3430108772088365
1.0677929642220823,1.1823330905209166
1.156814433651167,1.1159769846412395
1.023101657853207,1.0524097076451502
0.839883815558778,0.9172017249435097
0.741000533856212,0.7366591567743723
0.6825120572364332,0.6542565704210295
0.6931774193076483,0.6436200570756545
0.7717302441087985,0.7152916890901826
0.7995779903937572,0.7480095870450147
0.7665361081886457,0.7825488724559795
0.7533780025105725,0.7980102461588492
0.6978176122040549,0.7554830097446155
0.7914408689212775,0.7261397003988674
0.8656576589972251,0.7730920701751065
0.8669605410619707,0.7636508794475174
